University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,12 M Gross Pay,9 M Gross Pay,3 M Gross Pay,Fees,Comments
Drexel University (DU),chemistry,"$23,500",0.97,2018-2019,3rd,"$23,500",,,,
Clarkson University,Chemistry/ PhD,"$24,650",1.20,2019-2020,2nd,"$26,000",,,"$1,350",
University of Miami (UM),Psychiatry & Behavioral Sciences,"$26,800",1.13,2019-2020,3rd,"$27,000",,,$200,
Temple University (TU),mechanical engineering,"$24,479",1.02,2018-2019,1st,,"$19,211","$6,403","$1,135",
University of Houston (UH),Computer Science,"$17,000",0.78,2019-2020,1st,,"$18,000",,"$1,000",Only thing I am required to pay is my health insurance.
Ohio State University (OSU),Philosophy ,"$26,102",1.30,2018-2019,,"$26,326",,,$224,The fee goes toward health insurance that is subsidized 85% by the graduate school. 
Cornell University (CU),Biomedical Engineering,"$40,000",1.65,2018-2019,1st,"$40,000",,,,"Base is $35,000. But I got an internal fellowship that granted me $40,000. "
University of Pittsburgh,Political Science,"$20,440",0.99,2019-2020,2nd,"$20,500",,,$60,
Stevens Institute of Technology,School of Systems and Enterprises,"$24,647",0.93,2019-2020,1st,,"$24,647",,,
Carnegie Mellon University (CMU),Heinz College,"$27,000",1.30,2017-2018,,,"$24,000","$3,000",,
Indiana University,The Media School,"$15,750",0.73,2019-2020,2nd,,"$15,750",,,
University of Texas - El Paso (UTEP),Rhetoric,"$16,500",0.79,2019-2020,1st,,"$17,500","$2,500","$3,500",PhD students are required to pay tuition. TA positions give you 1250 dollars per semester to help you cover that. 
Harvard University (HU),East Asian Languages and Civilizations,"$35,676",1.25,2019-2020,1st,,"$29,730","$5,946",,
George Washington University (GW),Biological Sciences,"$32,900",1.07,2019-2020,2nd,,"$26,000","$7,000",$100,
Yale University (YU),Applied Physics,"$35,250",1.43,2019-2020,1st,"$35,250",,,,
University of California - San Diego (UCSD),Bioinformatics,"$33,000",1.25,2018-2019,,"$33,000",,,,
Northwestern University (NU),Interdisciplinary Biological Sciences,"$32,875",1.36,2019-2020,1st,"$33,000",,,$125,
University of Memphis,Sociology,"$10,500",0.47,2018-2019,1st,,"$10,500",,,
Uniformed Services University of the Health Sciences,EID,"$36,000",1.19,2018-2019,3rd,"$36,000",,,,"Before passing quals grad students make fed salary $36,657.92 for 2019 with the yearly federal pay raise"
Indiana University,Psychological and brain sciences,"$22,881",1.06,2018-2019,4th,,"$21,767","$2,233","$1,119",
University of Maine,Computer Science,"$15,680",0.73,2018-2019,1st,,"$15,930",,$250,
Temple University (TU),Physics,"$25,674",1.06,2018-2019,,"$26,000",,,$326,
University of Texas - Dallas (UTD),Molecular and Cell Biology,"$22,000",1.02,2018-2019,2nd,"$22,000",,,,
University of South Florida (UCF),environmental engineering,"$25,000",1.14,2019-2020,2nd,"$25,000",,,,
University of Texas Health Science Center - San Antonio,Pharmacology ,"$30,000",1.44,2018-2019,3rd,"$30,000",,,,
University of Tennessee - Knoxville,Department of Civil and Environmental Engineering,"$21,190",1.00,2019-2020,1st,"$23,430",,,"$2,240",Gross pay includes 20 hour per week RA and 6 hour per week TA.
,Physics,"$38,662",,2019-2020,1st,"$38,662",,,,
North Carolina State University (NCSU),Electrical and Computer Engineering,"$18,200",0.80,2018-2019,1st,"$18,200",,,,
,,$800,,2018-2019,,"$1,000",,,$200,
California Institute of Technology (Caltech),Biological Engineering,"$35,000",1.35,2018-2019,1st,"$35,000",,,,
Oklahoma State University (OSU),Chemical Engineering,"$2,200",0.11,2018-2019,1st,"$2,200",,,,
University of Houston (UH),Mechanical Engineering,"$25,000",1.14,2019-2020,1st,"$25,000",,,,
University of Houston (UH),Mechanical Engineering,"$2,050",0.09,2019-2020,1st,"$2,050",,,,
University of Connecticut (UConn),Biomedical Sciences,"$32,000",1.32,2019-2020,2nd,"$32,000",,,,"PhD student at UConn Health. Last year stipend was 30,500, which just increased to 32k. Paid bi-weekly all year. Tuition is covered. Fees are covered except for parking (fairly inexpensive). Health and dental insurance combined are about $370 a year."
Virginia Tech,Civil and Environmental Engineering - EWR,"$22,954",1.09,2018-2019,,"$25,404",,,"$2,450",Health insurance is $50 month but does not include dental. Dental is $130 a month. This is not worth it unless you have a number of dental issues because a cleaning is $125 and the insurance include 2 cleanings a year.
Illinois Institute of Technology (IIT),Chemistry,"$16,000",0.66,2019-2020,1st,,"$18,500",,"$2,500",
University of Rochester (UR),Biomeducal Engineering,"$29,560",1.38,2018-2019,1st,"$29,560",,,,
Georgia State University (GSU),Mathematics,"$20,600",0.88,2018-2019,2nd,"$21,600",,,"$1,000",
University of South Carolina (USC),Classics ,"$3,400",0.15,2019-2020,1st,,"$3,400",,,
University of California - Berkeley,COMPUTER SCIENCE,"$120,000",4.32,2018-2019,,,"$120,000",,,
University of Pennsylvania,Graduate School of Education,"$32,952",1.37,2018-2019,2nd,,"$26,961","$5,991",,
University of California - Santa Barbara (UCSB),History,"$29,000",1.10,2019-2020,1st,,"$24,000","$5,000",,"Chancellor's Fellowship package for 6 years of funding. Summer funding of 5k after 1st year. 3 years teaching, 3 years fellowship."
Princeton University,Art History,"$34,500",1.36,2019-2020,1st,"$34,500",,,,Additional summer funding after 1st and 2nd years $2500; fund for books and course research
Columbia University (CU),Art History,"$34,080",1.15,2019-2020,1st,,"$30,200","$3,880",,
University of Pennsylvania,Art History,"$29,680",1.23,2019-2020,1st,"$29,680",,,,5-year funding with 3 summers of summer stipend at $4880
University of Pennsylvania,Art History,"$29,680",1.23,2019-2020,1st,"$29,680",,,,5-year funding with 3 summers of summer stipend at $4880
University of Pennsylvania,Art History,"$29,680",1.23,2019-2020,1st,"$29,680",,,,5-year funding with 3 summers of summer stipend at $4880
University of Nevada - Reno (UNR),Biology,"$23,800",1.13,2018-2019,1st,,"$21,000","$4,000","$1,200",
Southern Methodist University (SMU),Mechanical Engineering,"$17,850",0.83,2018-2019,2nd,,"$18,000",,$150,In 1st year I received 11 months (22K). But due to funding it is decreased to 9 months now.
University of Massachusetts - Amherst (UMass),Physics,"$31,150",1.36,2019-2020,2nd,"$31,850",,,$700,
University of Massachusetts - Amherst (UMass),physics,"$31,313",1.37,2019-2020,4th,"$31,813",,,$500,
Pennsylvania State University (Penn State),Neuroscience,"$26,000",1.16,2018-2019,,"$26,000",,,,
Northeastern University (NU),Bioengineering,"$32,800",1.15,2019-2020,1st,"$33,000",,,$200,
University of Maryland - College Park (UMD),Chemical and Biomolecular Engineering,"$32,848",1.09,2019-2020,2nd,"$33,750",,,$902,An increase in pay occurs upon passing the qualifying exam (RAE) and entering the second year. Cost of living adjustments ~3% were also administered through the first year.
University of Colorado - Boulder (UCB),Aerospace Engineering,"$21,000",0.82,2019-2020,1st,,"$23,000",,"$2,000",
University of Alabama (UA),Aerospace Engineering and Mechanics,"$1,790",0.09,2018-2019,3rd,"$2,000",,,$210,
University of Oklahoma (OU),Biology,"$20,000",0.99,2019-2020,1st,,"$20,000",,,"10 month stipend is $2000 per month. Summer has options to find other funding. Tuition waiver does not cover fees, which depend on how many credit hours you take. (Generally fees are around  $1500-$2000 per semester)"
Virginia Commonwealth University (VCU),Health Behavior and Policy,"$30,000",1.21,2019-2020,1st,"$30,000",,,,
Syracuse University,Physics,"$22,000",1.03,2018-2019,2nd,"$22,000",,,,
University of Michigan - Ann Arbor (UM),HBHE,"$38,000",1.65,2018-2019,1st,,"$28,000","$10,000",,
Colorado School of Mines,Mechanical engineering,"$28,800",1.28,2018-2019,1st,"$28,800",,,,
Oregon State University (OSU),civil engineering,"$23,600",1.13,2018-2019,1st,"$24,000",,,$400,
University of Pennsylvania,Pharmacology,"$34,000",1.41,2019-2020,1st,"$34,000",,,,
Clemson University (CU),Bioengineering,"$16,400",0.79,2018-2019,1st,"$20,000",,,"$3,600",
Clemson University (CU),Bioengineering,"$18,777",0.90,2018-2019,1st,"$20,000",,,"$1,223",
Pennsylvania State University (Penn State),Educational Leadership,"$30,000",1.34,2018-2019,1st,,"$30,000",,,
The University of Toledo,Cellular and Molecular Biology,"$24,700",,2018-2019,2nd,"$26,700",,,"$2,000",
Stony Brook University - SUNY,,"$27,600",0.99,2018-2019,2nd,"$29,000",,,"$1,400",
Mayo Clinic Graduate School,,"$32,569",,2018-2019,1st,"$32,569",,,,Stipends for all students guaranteed for five years and paid by graduate school and not PI's grants.
,,"$23,980",,2018-2019,,,"$24,000",,$20,
,,"$23,980",,2018-2019,,"$24,000",,,$20,
University of South Carolina (USC),Chemical Engineering ,"$32,000",1.42,2019-2020,3rd,"$32,000",,,,Recieved additional fellowship 
,,"$23,000",,2018-2019,1st,,"$25,000",,"$2,000",
University of Southern California (USC),Neuroscience (NGP),"$35,000",1.35,2018-2019,2nd,"$35,000",,,,"This covers all fees and we also get the student health insurance, as well as dental covered."
Arizona State University (ASU),School of Sustainable Engineering and the Built Environment,"$25,800",1.16,2018-2019,,"$27,500",,,"$1,700",
Purdue University,Industrial and Physical Pharmacy,"$26,500",,2018-2019,,"$26,500",,,,
University at Buffalo - SUNY,Electrical Engineering,"$18,200",0.87,2019-2020,1st,"$20,000",,,"$1,800",
Rutgers the State University of New Jersey - New Brunswick,Classics ,"$23,535",0.91,2018-2019,1st,,"$25,000",,"$1,465",
University of Minnesota - Twin Cities (UM),Medicinal Chemistry,"$27,126",1.18,2018-2019,4th,"$28,126",,,"$1,000",
Simon Fraser University ,Chemistry ,"$17,317",,2018-2019,3rd,"$24,000",,,"$6,683","Students are required to pay tuition at SFU, no waivers are available. Fees drop by 50% after second full time year to roughly $3000"
University of Wisconsin - Madison (UW),Statistics,"$18,600",0.81,2018-2019,1st,,"$20,000",,"$1,400",
University of Wisconsin - Madison (UW),Statistics,"$18,600",0.81,2018-2019,1st,"$20,000",,,"$1,400",
CUNY Graduate School and University Center,Biology,"$25,600",0.86,2018-2019,4th,"$26,000",,,$400,
Purdue University - West Lafayette,Biomedical Engineering,"$24,350",1.15,2018-2019,2nd,"$26,500",,,"$2,150",
Mount Sinai School of Medicine,PhD,"$39,000",1.31,2018-2019,1st,"$39,000",,,,
Indiana University,Psychology,"$22,800",1.06,2018-2019,4th,"$23,000",,,$200,
Old Dominion University (ODU),Oceanography,"$34,000",1.28,2018-2019,4th,"$34,000",,,,
,,"$47,000",,2018-2019,,"$47,000",,,,
University of Wisconsin - Madison (UW),Communication Arts,"$17,050",0.75,2018-2019,1st,,"$18,350",,"$1,300","Funding is guaranteed for 5 (maybe 6?) years in the program. However, it's barely liveable for the steadily rising COL of Madison, and the high fees we pay on top of it is a real slap to the face. Summer funding is not guaranteed, and while most find grading or teaching work to cover it, it's harder to get as a first year grad student. Overall not very pleased with this arrangement.  "
Arizona State University (ASU),Chemistry,"$23,150",1.04,2019-2020,1st,"$23,600",,,$450,
Colorado State University (CSU),English,"$14,000",0.62,2018-2019,3rd,,"$14,000",,,
Washington University in St. Louis (Wash U),Math,"$60,000",2.90,2018-2019,1st,"$60,000",,,,
Washington University in St. Louis (Wash U),Math,"$60,000",2.90,2018-2019,1st,"$60,000",,,,
Johns Hopkins University (JHU),Chemistry,"$32,800",1.28,2018-2019,4th,"$32,800",,,,
Princeton University,French and Italian,"$34,400",1.35,2019-2020,2nd,"$34,400",,,,"go to columbia, instead of paying top dollar to live nowhere"
Duke University (DU),Bioengineering,"$29,700",1.34,2018-2019,3rd,"$30,000",,,$300,
,,"$32,750",,2018-2019,,"$33,000",,,$250,
University of Colorado - Denver (UCD),Molecular Biology PhD,"$31,000",1.38,2019-2020,2nd,"$31,000",,,,
Michigan State University (MSU),Physics/Nuclear,"$33,000",1.61,2019-2020,1st,"$33,000",,,,"University Distinguished Fellowship plus NSCL Fellowship.  Pays for tuition, fees, and health insurance plus $33,000 stipend."
University of Denver (DU),Mathematics,"$20,700",0.92,2019-2020,1st,,"$20,700",,,Includes health insurance
University of California - Los Angeles (UCLA),biology,"$42,000",1.62,2018-2019,1st,"$42,000",,,,
Oregon Health and Science University,Neuroscience,"$30,000",1.28,2018-2019,1st,"$30,000",,,,
Wake Forest University (WFU),Biomedical Informatics,"$45,000",2.06,2019-2020,1st,"$45,000",,,,
University of Arizona (U of A),Entomology,"$22,022",1.06,2018-2019,1st,"$22,022",,,,
University of Wisconsin - Madison (UW),Computer Sciences,"$20,700",0.91,2019-2020,1st,,"$22,000",,"$1,300","$11,000 stipend, 50% TA appointment for FA 2019 w/ tuition remission. Segregated fees ~$650/semester not covered for more than 8 credit hours enrollment."
Oregon State University (OSU),Microbiology,"$1,600",0.08,2018-2019,2nd,"$2,000",,,$400,
University of Central Florida (UCF),Mechanical Engineering,"$24,000",1.04,2019-2020,1st,,"$25,000",,"$1,000",
FAMU,COPPS,"$16,183",,2018-2019,,"$16,183",,,,
Johns Hopkins University,Chemistry,"$32,470",,2016-2017,1st,"$32,470",,,,
University of Cincinnati (UC),School Psychology,"$12,540",0.65,2018-2019,1st,"$12,540",,,,
Clark Atlanta University,Chemistry ,"$17,100",0.73,2019-2020,1st,,"$17,100",,,
Tulane University (TU),Microbiology/Immunology,"$23,000",1.00,2018-2019,,"$25,000",,,"$2,000",
Yeshiva University (YU),Biomedical Sciences,"$35,000",1.18,2018-2019,1st,"$35,000",,,,
Miami University (MU),Mechanical Engineering,"$15,800",0.82,2019-2020,1st,,"$16,000","$1,800","$2,000",
Northeastern University (NU),Electrical and Computer Engineering,"$33,007",1.15,2018-2019,2nd,"$33,207",,,$200,after taxes and covering health insurance
Stanford University (SU),Civil and Environmental Enineering,"$42,000",1.46,2019-2020,1st,"$44,000",,,"$2,000",
University of California - Los Angeles (UCLA),Electrical Engineering,"$28,000",1.08,2019-2020,1st,"$33,000",,,"$5,000",
University of California - Berkeley,MCB,"$37,000",1.33,2019-2020,1st,"$37,000",,,,
University of Minnesota - Twin Cities (UM),German Nordic Slavic and Dutch,"$23,500",1.03,2018-2019,1st,,"$20,000","$5,000","$1,500",
University of North Carolina - Chapel Hill (UNC),Biomedical Engineering,"$37,500",1.69,2019-2020,1st,"$37,500",,,,5000 bonus first year
University of California - Los Angeles (UCLA),Linguistics,"$33,000",1.28,2019-2020,1st,,"$27,000","$6,000",,
Clemson University (CU),Automotive,"$20,500",0.98,2018-2019,3rd,"$22,000",,,"$1,500",
University of California - Los Angeles (UCLA),Molecular Biology Interdepartmental Doctoral Program (MBIDP),"$33,500",1.29,2019-2020,1st,"$33,500",,,,
Duke University (DU),Public Policy,"$25,000",1.12,2019-2020,1st,,"$25,000",,,
Gonzaga University,School of Leadership Studies,"$1,440",,2018-2019,1st,"$1,440",,,,Stipend requires full time load (6 credits) and is awarded on a semester by semester basis.
University of California - San Francisco (UCSF),Chemistry and Chemical biology ,"$40,000",1.34,2019-2020,1st,"$40,000",,,,
University of California - San Francisco (UCSF),Chemistry and Chemical biology ,"$40,000",1.34,2019-2020,1st,"$40,000",,,,
University of Cincinnati (UC),Communication,"$12,550",0.65,2018-2019,1st,,"$13,000",,$450,"All tuition was covered. Paid about 640 dollars every two weeks, but received increase to 656 dollars every two weeks. Health insurance scholarship available but hard to get unless far below income requirements. Summer teaching not often available. "
California Institute of Technology (Caltech),Computing and Mathematical Sciences,"$35,000",1.35,2018-2019,4th,"$35,000",,,,"NSF GRFP pays $34,000. Institute minimum is $35,000."
Duke University (DU),University Program in Genetics and Genomics,"$31,800",1.43,2018-2019,3rd,"$31,800",,,,
University of Texas - Dallas (UTD),Management,"$36,100",1.67,2018-2019,3rd,"$38,400",,,"$2,300",
University of Reims,Computer Science,"$1,400",,2018-2019,3rd,"$1,800",,,$400,
University of Chicago (UC),physics,"$30,342",1.25,2018-2019,1st,,"$24,825","$5,517",,
Florida Institute of Technology,Bces,"$11,560",0.55,2018-2019,,,"$11,560",,,
University of Pittsburgh,Infectious Disease and Microbiology,"$28,000",1.35,2019-2020,1st,"$28,000",,,,
University of Pittsburgh,Infectious Disease and Microbiology,"$28,000",1.35,2019-2020,1st,"$28,000",,,,
Baylor University (BU),History,"$17,500",0.88,2018-2019,,,"$21,000",,"$3,500",
University of Alabama - Birmingham (UAB),Immunology,"$30,000",1.39,2019-2020,3rd,"$30,000",,,,"after qualification, you get 31,000!"
University of Arizona (U of A),,"$20,150",0.97,2019-2020,,"$20,800",,,$650,
Northwestern University (NU),Biology,"$32,700",1.35,2018-2019,1st,"$32,700",,,,
University of Connecticut (UConn),Biomedical sciences,"$30,500",1.25,2019-2020,1st,"$30,500",,,,
University of Texas - Arlington (UTA),Mechanical Engineering/PhD,"$16,500",0.76,2019-2020,2nd,"$19,200",,,"$2,700","Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside insurance (worth 300-600 USD per year)"
